t,crowd_count,near_center_fraction_5m,outward_fraction,mean_outward_speed_mps,net_radial_flow_mps,y,outward_fraction_lag1,outward_fraction_lag2,outward_fraction_lag3,mean_outward_speed_mps_lag1,mean_outward_speed_mps_lag2,mean_outward_speed_mps_lag3,crowd_count_lag1,crowd_count_lag2,crowd_count_lag3,net_radial_flow_mps_lag1,net_radial_flow_mps_lag2,net_radial_flow_mps_lag3,near_center_fraction_5m_lag1,near_center_fraction_5m_lag2,near_center_fraction_5m_lag3
7.0,50.0,0.2,0.02,2.5052377235351355,-1.6640334826211023,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,-1.8960244392319787,-1.897298757408138,0.0,0.0,0.0,0.0
10.0,50.0,0.42,0.3,2.407130358680584,-0.4716024868954557,0,0.02,0.0,0.0,2.5052377235351355,0.0,0.0,50.0,50.0,50.0,-1.6640334826211023,-1.8960244392319787,-1.897298757408138,0.2,0.0,0.0
12.0,50.0,0.22,0.58,2.3415419175175844,0.7235949784575463,0,0.3,0.02,0.0,2.407130358680584,2.5052377235351355,0.0,50.0,50.0,50.0,-0.4716024868954557,-1.6640334826211023,-1.8960244392319787,0.42,0.2,0.0
15.0,50.0,0.06,0.66,2.3259400689975243,1.1123033023210447,0,0.58,0.3,0.02,2.3415419175175844,2.407130358680584,2.5052377235351355,50.0,50.0,50.0,0.7235949784575463,-0.4716024868954557,-1.6640334826211023,0.22,0.42,0.2
17.0,50.0,0.08,0.66,2.3258760979311304,1.2198217974697858,0,0.66,0.58,0.3,2.3259400689975243,2.3415419175175844,2.407130358680584,50.0,50.0,50.0,1.1123033023210447,0.7235949784575463,-0.4716024868954557,0.06,0.22,0.42
20.0,44.0,0.25,0.6136363636363636,2.293351402475795,1.212282957965037,0,0.66,0.66,0.58,2.3258760979311304,2.3259400689975243,2.3415419175175844,50.0,50.0,50.0,1.2198217974697858,1.1123033023210447,0.7235949784575463,0.08,0.06,0.22
22.0,40.0,0.3,0.425,2.2582776806545968,1.0193846455259654,0,0.6136363636363636,0.66,0.66,2.293351402475795,2.3258760979311304,2.3259400689975243,44.0,50.0,50.0,1.212282957965037,1.2198217974697858,1.1123033023210447,0.25,0.08,0.06
25.0,42.0,0.21428571428571427,0.21428571428571427,2.181620331013174,0.4937276147251913,0,0.425,0.6136363636363636,0.66,2.2582776806545968,2.293351402475795,2.3258760979311304,40.0,44.0,50.0,1.0193846455259654,1.212282957965037,1.2198217974697858,0.3,0.25,0.08
27.0,46.0,0.043478260869565216,0.10869565217391304,2.1345775873658255,-0.080598008393538,0,0.21428571428571427,0.425,0.6136363636363636,2.181620331013174,2.2582776806545968,2.293351402475795,42.0,40.0,44.0,0.4937276147251913,1.0193846455259654,1.212282957965037,0.21428571428571427,0.3,0.25
30.0,45.0,0.06666666666666667,0.0,0.0,-0.6383005016941699,0,0.10869565217391304,0.21428571428571427,0.425,2.1345775873658255,2.181620331013174,2.2582776806545968,46.0,42.0,40.0,-0.080598008393538,0.4937276147251913,1.0193846455259654,0.043478260869565216,0.21428571428571427,0.3
